"NAVDate","NAVPrice","NAVCurrency","AUMSize","AUMCurrency"
"20 déc. 2024","102,2200","EUR","314,0490M","EUR"
"19 déc. 2024","103,2100","EUR","317,1167M","EUR"
"18 déc. 2024","104,8100","EUR","322,0904M","EUR"
"17 déc. 2024","104,6700","EUR","321,6713M","EUR"
"16 déc. 2024","104,8400","EUR","322,1601M","EUR"
"13 déc. 2024","104,8800","EUR","322,3857M","EUR"
"12 déc. 2024","105,4100","EUR","324,0007M","EUR"
"11 déc. 2024","105,4600","EUR","324,2114M","EUR"
"10 déc. 2024","104,9200","EUR","322,5537M","EUR"
"09 déc. 2024","105,3100","EUR","323,7601M","EUR"
"06 déc. 2024","105,4300","EUR","324,2106M","EUR"
"05 déc. 2024","105,2500","EUR","323,5799M","EUR"
"04 déc. 2024","104,6100","EUR","321,6804M","EUR"
"03 déc. 2024","104,2100","EUR","320,4454M","EUR"
"02 déc. 2024","103,8700","EUR","319,3586M","EUR"
"29 nov. 2024","103,5000","EUR","320,6249M","EUR"
"28 nov. 2024","102,8800","EUR","318,6725M","EUR"
"27 nov. 2024","102,2300","EUR","316,6478M","EUR"
"26 nov. 2024","102,5600","EUR","317,7007M","EUR"
"25 nov. 2024","103,0600","EUR","320,0957M","EUR"
"22 nov. 2024","102,9400","EUR","321,1700M","EUR"
"21 nov. 2024","101,5100","EUR","316,7583M","EUR"
"20 nov. 2024","100,9800","EUR","315,1396M","EUR"
"19 nov. 2024","101,1100","EUR","315,4973M","EUR"
"18 nov. 2024","101,4500","EUR","316,5773M","EUR"
"15 nov. 2024","101,5200","EUR","316,8326M","EUR"
"14 nov. 2024","103,1000","EUR","321,7468M","EUR"
"13 nov. 2024","101,9100","EUR","318,0084M","EUR"
"12 nov. 2024","102,1100","EUR","318,6623M","EUR"
"11 nov. 2024","103,9200","EUR","324,3332M","EUR"
"08 nov. 2024","102,6600","EUR","320,4814M","EUR"
"07 nov. 2024","102,7400","EUR","320,7779M","EUR"
"06 nov. 2024","102,6800","EUR","320,5851M","EUR"
"05 nov. 2024","103,4600","EUR","323,0151M","EUR"
"04 nov. 2024","103,5700","EUR","323,2237M","EUR"
"31 oct. 2024","103,0000","EUR","321,7399M","EUR"
"30 oct. 2024","104,4400","EUR","326,2336M","EUR"
"29 oct. 2024","106,0300","EUR","331,1673M","EUR"
"28 oct. 2024","106,4300","EUR","332,4021M","EUR"
"25 oct. 2024","105,7100","EUR","330,2140M","EUR"
"24 oct. 2024","105,8000","EUR","330,5399M","EUR"
"23 oct. 2024","105,9100","EUR","330,9153M","EUR"
"22 oct. 2024","106,1900","EUR","332,5320M","EUR"
"21 oct. 2024","106,6700","EUR","334,0350M","EUR"
"18 oct. 2024","107,6100","EUR","337,0486M","EUR"
"17 oct. 2024","107,3200","EUR","336,0959M","EUR"
"16 oct. 2024","106,2900","EUR","332,9007M","EUR"
"15 oct. 2024","106,4300","EUR","333,3140M","EUR"
"14 oct. 2024","107,4800","EUR","336,5915M","EUR"
"11 oct. 2024","106,5500","EUR","333,8035M","EUR"
"10 oct. 2024","106,0500","EUR","332,2087M","EUR"
"09 oct. 2024","106,1900","EUR","332,7040M","EUR"
"08 oct. 2024","105,5200","EUR","330,5999M","EUR"
"07 oct. 2024","105,6600","EUR","331,0428M","EUR"
"04 oct. 2024","105,5600","EUR","330,8027M","EUR"
"03 oct. 2024","105,4600","EUR","330,5046M","EUR"
"02 oct. 2024","106,5300","EUR","333,8951M","EUR"
"01 oct. 2024","106,6500","EUR","334,2242M","EUR"
"30 sept. 2024","106,8600","EUR","334,8456M","EUR"
"27 sept. 2024","108,1000","EUR","339,1156M","EUR"
"26 sept. 2024","108,1300","EUR","339,2228M","EUR"
"25 sept. 2024","106,8800","EUR","332,7624M","EUR"
"24 sept. 2024","106,8600","EUR","332,6922M","EUR"
"23 sept. 2024","106,5700","EUR","331,8806M","EUR"
"20 sept. 2024","106,2800","EUR","331,0314M","EUR"
"19 sept. 2024","107,4900","EUR","334,7950M","EUR"
"18 sept. 2024","106,4400","EUR","331,5344M","EUR"
"17 sept. 2024","106,9900","EUR","333,3840M","EUR"
"16 sept. 2024","106,5000","EUR","331,8242M","EUR"
"13 sept. 2024","106,6600","EUR","332,3899M","EUR"
"12 sept. 2024","105,9700","EUR","330,1778M","EUR"
"11 sept. 2024","105,4900","EUR","328,6776M","EUR"
"10 sept. 2024","105,3800","EUR","328,3369M","EUR"
"09 sept. 2024","105,8000","EUR","329,2894M","EUR"
"06 sept. 2024","104,9000","EUR","326,6050M","EUR"
"05 sept. 2024","105,8600","EUR","329,5570M","EUR"
"04 sept. 2024","106,4300","EUR","331,3380M","EUR"
"03 sept. 2024","107,3300","EUR","334,1819M","EUR"
"02 sept. 2024","108,1700","EUR","336,7228M","EUR"
"30 août 2024","108,1100","EUR","336,5881M","EUR"
"29 août 2024","107,9800","EUR","336,3087M","EUR"
"28 août 2024","107,1100","EUR","333,5866M","EUR"
"27 août 2024","106,5600","EUR","331,9452M","EUR"
"26 août 2024","106,3200","EUR","331,2026M","EUR"
"23 août 2024","106,5100","EUR","331,8513M","EUR"
"22 août 2024","106,0800","EUR","330,4884M","EUR"
"21 août 2024","105,7600","EUR","329,4916M","EUR"
"20 août 2024","105,4500","EUR","328,5101M","EUR"
"19 août 2024","105,6200","EUR","329,1341M","EUR"
"16 août 2024","105,1400","EUR","327,5942M","EUR"
"14 août 2024","103,6900","EUR","323,0638M","EUR"
"13 août 2024","103,2200","EUR","321,5466M","EUR"
"12 août 2024","102,6400","EUR","319,7666M","EUR"
"09 août 2024","102,6700","EUR","319,8882M","EUR"
"08 août 2024","102,2300","EUR","318,4866M","EUR"
"07 août 2024","102,1800","EUR","318,3209M","EUR"
"06 août 2024","100,6800","EUR","313,6466M","EUR"
"05 août 2024","100,6200","EUR","313,4712M","EUR"
"02 août 2024","102,5100","EUR","319,4251M","EUR"
"01 août 2024","104,9600","EUR","327,3241M","EUR"
"31 juil. 2024","106,5000","EUR","332,0485M","EUR"
"30 juil. 2024","105,5800","EUR","329,0848M","EUR"
"29 juil. 2024","105,2600","EUR","328,0711M","EUR"
"26 juil. 2024","105,3600","EUR","328,5109M","EUR"
"25 juil. 2024","104,3000","EUR","332,4799M","EUR"
"24 juil. 2024","104,9500","EUR","334,5549M","EUR"
"23 juil. 2024","105,4000","EUR","336,3166M","EUR"
"22 juil. 2024","105,2300","EUR","335,5780M","EUR"
"19 juil. 2024","104,1400","EUR","332,0786M","EUR"
"18 juil. 2024","104,8400","EUR","334,2595M","EUR"
"17 juil. 2024","104,9200","EUR","334,1857M","EUR"
"16 juil. 2024","105,6500","EUR","336,6836M","EUR"
"15 juil. 2024","105,8100","EUR","337,1814M","EUR"
"12 juil. 2024","106,7900","EUR","340,6201M","EUR"
"11 juil. 2024","105,8900","EUR","337,7254M","EUR"
"10 juil. 2024","105,3000","EUR","335,8781M","EUR"
"09 juil. 2024","104,3700","EUR","332,9083M","EUR"
"08 juil. 2024","105,2300","EUR","335,6570M","EUR"
"05 juil. 2024","105,2800","EUR","335,7636M","EUR"
"04 juil. 2024","105,2300","EUR","335,5821M","EUR"
"03 juil. 2024","104,7500","EUR","334,1237M","EUR"
"02 juil. 2024","103,9000","EUR","331,3895M","EUR"
"01 juil. 2024","104,4200","EUR","333,0778M","EUR"
"28 juin 2024","104,0800","EUR","332,0573M","EUR"
"27 juin 2024","104,4500","EUR","333,3726M","EUR"
"26 juin 2024","105,0800","EUR","335,4268M","EUR"
"25 juin 2024","105,4500","EUR","336,6091M","EUR"
"24 juin 2024","105,5100","EUR","336,7844M","EUR"
"21 juin 2024","104,8200","EUR","334,7426M","EUR"
"20 juin 2024","105,5800","EUR","337,1586M","EUR"
"19 juin 2024","104,5900","EUR","333,9681M","EUR"
"18 juin 2024","105,0900","EUR","335,5489M","EUR"
"17 juin 2024","104,2900","EUR","333,0294M","EUR"
"14 juin 2024","104,1400","EUR","332,5929M","EUR"
"13 juin 2024","105,3300","EUR","336,3903M","EUR"
"12 juin 2024","106,6600","EUR","340,8161M","EUR"
"11 juin 2024","105,2800","EUR","336,4108M","EUR"
"10 juin 2024","106,5100","EUR","340,3142M","EUR"
"07 juin 2024","107,0300","EUR","341,9836M","EUR"
