"NAVDate","NAVPrice","NAVCurrency","AUMSize","AUMCurrency"
"16 juil. 2014","59,6000","EUR","264,0696M","EUR"
"15 juil. 2014","58,8200","EUR","259,5706M","EUR"
"14 juil. 2014","59,2300","EUR","261,4861M","EUR"
"11 juil. 2014","58,7000","EUR","259,0855M","EUR"
"10 juil. 2014","58,5600","EUR","258,4743M","EUR"
"09 juil. 2014","59,0900","EUR","260,8223M","EUR"
"08 juil. 2014","59,0800","EUR","259,3914M","EUR"
"07 juil. 2014","59,8600","EUR","262,8267M","EUR"
"04 juil. 2014","60,4100","EUR","266,7471M","EUR"
"03 juil. 2014","60,5800","EUR","267,5512M","EUR"
"02 juil. 2014","59,9100","EUR","264,5763M","EUR"
"01 juil. 2014","59,7800","EUR","263,1327M","EUR"
"30 juin 2014","59,2000","EUR","263,7524M","EUR"
"27 juin 2014","59,2700","EUR","264,0720M","EUR"
"26 juin 2014","59,0900","EUR","264,2557M","EUR"
"25 juin 2014","59,0600","EUR","265,5340M","EUR"
"24 juin 2014","59,6200","EUR","267,0692M","EUR"
"20 juin 2014","60,1200","EUR","269,3187M","EUR"
"19 juin 2014","60,0200","EUR","269,2307M","EUR"
"18 juin 2014","59,7900","EUR","268,2371M","EUR"
"17 juin 2014","59,8000","EUR","266,6635M","EUR"
"16 juin 2014","59,7200","EUR","266,2651M","EUR"
"13 juin 2014","59,9400","EUR","267,2853M","EUR"
"12 juin 2014","60,0500","EUR","267,7241M","EUR"
"11 juin 2014","60,0600","EUR","267,8622M","EUR"
"10 juin 2014","60,4000","EUR","268,7947M","EUR"
"06 juin 2014","60,0700","EUR","266,9351M","EUR"
"05 juin 2014","59,6500","EUR","265,1819M","EUR"
"04 juin 2014","59,3500","EUR","263,2391M","EUR"
"03 juin 2014","59,1900","EUR","262,5399M","EUR"
"02 juin 2014","59,4700","EUR","264,8001M","EUR"
"30 mai 2014","59,2200","EUR","263,7089M","EUR"
"28 mai 2014","59,4300","EUR","264,8285M","EUR"
"27 mai 2014","59,4200","EUR","264,3337M","EUR"
"26 mai 2014","59,1500","EUR","263,1098M","EUR"
"23 mai 2014","58,7400","EUR","261,2874M","EUR"
"22 mai 2014","58,6100","EUR","260,6815M","EUR"
"21 mai 2014","58,5400","EUR","263,1617M","EUR"
"20 mai 2014","58,2600","EUR","261,2116M","EUR"
"19 mai 2014","58,2700","EUR","261,2638M","EUR"
"16 mai 2014","58,2700","EUR","261,7264M","EUR"
"15 mai 2014","58,4800","EUR","263,1805M","EUR"
"14 mai 2014","59,0800","EUR","265,7627M","EUR"
"13 mai 2014","59,1400","EUR","265,1874M","EUR"
"12 mai 2014","59,0400","EUR","264,7039M","EUR"
"09 mai 2014","58,5100","EUR","262,3491M","EUR"
"08 mai 2014","58,6500","EUR","262,9304M","EUR"
"07 mai 2014","58,0400","EUR","259,8413M","EUR"
"06 mai 2014","58,0600","EUR","259,9146M","EUR"
"05 mai 2014","58,2800","EUR","260,8931M","EUR"
"02 mai 2014","58,3600","EUR","261,2748M","EUR"
"30 avr. 2014","58,4300","EUR","261,6260M","EUR"
"29 avr. 2014","58,1600","EUR","260,1253M","EUR"
"28 avr. 2014","57,5000","EUR","257,2130M","EUR"
"25 avr. 2014","57,5000","EUR","257,1838M","EUR"
"24 avr. 2014","58,0700","EUR","259,7526M","EUR"
"23 avr. 2014","58,0300","EUR","258,8961M","EUR"
"22 avr. 2014","58,1900","EUR","259,6219M","EUR"
"17 avr. 2014","57,3600","EUR","256,7973M","EUR"
"16 avr. 2014","57,0300","EUR","255,3293M","EUR"
"15 avr. 2014","56,3100","EUR","251,2866M","EUR"
"14 avr. 2014","56,9700","EUR","254,0965M","EUR"
"11 avr. 2014","56,8400","EUR","253,5435M","EUR"
"10 avr. 2014","57,6700","EUR","257,2879M","EUR"
"09 avr. 2014","57,9700","EUR","258,6716M","EUR"
"08 avr. 2014","57,8700","EUR","259,1939M","EUR"
"07 avr. 2014","58,1200","EUR","260,3487M","EUR"
"04 avr. 2014","58,8700","EUR","263,6902M","EUR"
"03 avr. 2014","58,5500","EUR","262,2462M","EUR"
"02 avr. 2014","58,4500","EUR","261,8190M","EUR"
"01 avr. 2014","58,3300","EUR","260,8666M","EUR"
"31 mars 2014","57,9500","EUR","258,8787M","EUR"
"28 mars 2014","57,8400","EUR","258,3617M","EUR"
"27 mars 2014","57,5100","EUR","256,8772M","EUR"
"26 mars 2014","57,4500","EUR","256,5709M","EUR"
"25 mars 2014","57,0500","EUR","254,2806M","EUR"
"24 mars 2014","56,3300","EUR","251,0624M","EUR"
"21 mars 2014","56,9500","EUR","253,7960M","EUR"
"20 mars 2014","56,9500","EUR","253,8404M","EUR"
"19 mars 2014","56,8000","EUR","252,2930M","EUR"
"18 mars 2014","56,9200","EUR","252,7446M","EUR"
"17 mars 2014","56,6000","EUR","251,3051M","EUR"
"14 mars 2014","55,9700","EUR","248,5353M","EUR"
"13 mars 2014","56,3700","EUR","250,4339M","EUR"
"12 mars 2014","57,0200","EUR","254,3987M","EUR"
"11 mars 2014","57,6300","EUR","256,4323M","EUR"
"10 mars 2014","57,7400","EUR","257,0605M","EUR"
"07 mars 2014","58,0300","EUR","258,3591M","EUR"
"06 mars 2014","58,8300","EUR","261,8697M","EUR"
"05 mars 2014","58,8100","EUR","261,7818M","EUR"
"04 mars 2014","58,9400","EUR","261,9497M","EUR"
"03 mars 2014","57,7000","EUR","256,4465M","EUR"
"28 févr. 2014","59,1600","EUR","262,8907M","EUR"
"27 févr. 2014","58,9900","EUR","262,1694M","EUR"
"26 févr. 2014","59,1300","EUR","263,3631M","EUR"
"25 févr. 2014","59,2200","EUR","263,1911M","EUR"
"24 févr. 2014","59,2600","EUR","263,4106M","EUR"
"21 févr. 2014","58,9200","EUR","261,8607M","EUR"
"20 févr. 2014","58,6700","EUR","260,7353M","EUR"
"19 févr. 2014","58,6500","EUR","260,6410M","EUR"
"18 févr. 2014","58,5600","EUR","259,7567M","EUR"
"17 févr. 2014","58,6000","EUR","259,9309M","EUR"
"14 févr. 2014","58,4200","EUR","259,0587M","EUR"
"13 févr. 2014","58,0700","EUR","257,4239M","EUR"
"12 févr. 2014","58,2300","EUR","258,0897M","EUR"
"11 févr. 2014","57,7700","EUR","255,2449M","EUR"
"10 févr. 2014","57,1000","EUR","252,3134M","EUR"
"07 févr. 2014","57,0700","EUR","252,1396M","EUR"
"06 févr. 2014","56,7400","EUR","250,6881M","EUR"
"05 févr. 2014","55,9800","EUR","247,3077M","EUR"
"04 févr. 2014","55,9700","EUR","247,0263M","EUR"
"03 févr. 2014","55,9600","EUR","246,9692M","EUR"
"31 janv. 2014","56,7700","EUR","249,7105M","EUR"
"30 janv. 2014","57,2100","EUR","246,6519M","EUR"
"29 janv. 2014","56,9400","EUR","245,4442M","EUR"
"28 janv. 2014","57,4700","EUR","233,5030M","EUR"
"27 janv. 2014","56,9100","EUR","231,2706M","EUR"
"24 janv. 2014","57,2900","EUR","232,7074M","EUR"
"23 janv. 2014","59,0700","EUR","212,1015M","EUR"
"22 janv. 2014","59,5500","EUR","214,4776M","EUR"
"21 janv. 2014","59,4700","EUR","215,1468M","EUR"
"20 janv. 2014","59,4800","EUR","212,6888M","EUR"
"17 janv. 2014","59,8400","EUR","198,7059M","EUR"
"16 janv. 2014","59,3900","EUR","197,0793M","EUR"
"15 janv. 2014","59,5100","EUR","197,3432M","EUR"
"14 janv. 2014","58,8500","EUR","193,3185M","EUR"
"13 janv. 2014","58,7400","EUR","192,4477M","EUR"
"10 janv. 2014","58,8100","EUR","187,6230M","EUR"
"09 janv. 2014","58,3600","EUR","186,2600M","EUR"
"08 janv. 2014","58,6200","EUR","187,0748M","EUR"
"07 janv. 2014","58,5100","EUR","186,7701M","EUR"
"06 janv. 2014","58,0900","EUR","185,3663M","EUR"
"03 janv. 2014","58,2600","EUR","185,9300M","EUR"
"02 janv. 2014","57,9900","EUR","185,0651M","EUR"
"31 déc. 2013","58,4600","EUR","186,5422M","EUR"
"30 déc. 2013","58,2600","EUR","185,8752M","EUR"
"27 déc. 2013","58,4300","EUR","186,0189M","EUR"
"23 déc. 2013","57,7300","EUR","183,7301M","EUR"
"20 déc. 2013","57,3300","EUR","182,4510M","EUR"
"19 déc. 2013","57,0600","EUR","179,6491M","EUR"
"18 déc. 2013","56,0900","EUR","176,5963M","EUR"
"17 déc. 2013","55,6000","EUR","174,7133M","EUR"
"16 déc. 2013","56,0300","EUR","176,0785M","EUR"
"13 déc. 2013","55,2400","EUR","173,5705M","EUR"
"12 déc. 2013","55,2800","EUR","173,7279M","EUR"
"11 déc. 2013","55,7300","EUR","175,1042M","EUR"
"10 déc. 2013","55,9000","EUR","174,7681M","EUR"
"09 déc. 2013","56,3500","EUR","176,1518M","EUR"
"06 déc. 2013","56,3000","EUR","176,0309M","EUR"
"05 déc. 2013","55,8100","EUR","174,4813M","EUR"
"04 déc. 2013","56,2000","EUR","175,8419M","EUR"
"03 déc. 2013","56,5700","EUR","176,6183M","EUR"
"02 déc. 2013","57,5100","EUR","179,5712M","EUR"
"29 nov. 2013","57,7500","EUR","174,8984M","EUR"
"28 nov. 2013","57,5700","EUR","174,3378M","EUR"
"27 nov. 2013","57,3300","EUR","173,5410M","EUR"
"26 nov. 2013","57,0300","EUR","171,9975M","EUR"
"25 nov. 2013","57,3900","EUR","173,0262M","EUR"
"22 nov. 2013","57,1200","EUR","172,1972M","EUR"
"21 nov. 2013","57,1100","EUR","172,1556M","EUR"
"20 nov. 2013","57,2900","EUR","172,7053M","EUR"
"19 nov. 2013","57,1300","EUR","170,9388M","EUR"
"18 nov. 2013","57,4200","EUR","171,8481M","EUR"
"15 nov. 2013","57,1900","EUR","171,2415M","EUR"
"14 nov. 2013","57,1200","EUR","170,9929M","EUR"
"13 nov. 2013","56,5300","EUR","169,1782M","EUR"
"12 nov. 2013","56,8300","EUR","169,7609M","EUR"
"11 nov. 2013","57,1300","EUR","170,6280M","EUR"
"08 nov. 2013","57,0100","EUR","170,2737M","EUR"
"07 nov. 2013","57,1000","EUR","170,5541M","EUR"
"06 nov. 2013","57,0700","EUR","170,4426M","EUR"
"05 nov. 2013","56,8300","EUR","169,6142M","EUR"
"04 nov. 2013","56,8900","EUR","169,8133M","EUR"
"31 oct. 2013","56,7700","EUR","169,4589M","EUR"
"30 oct. 2013","56,4800","EUR","168,3662M","EUR"
"29 oct. 2013","56,4600","EUR","168,7786M","EUR"
"28 oct. 2013","56,4800","EUR","168,7495M","EUR"
"25 oct. 2013","56,5500","EUR","168,8373M","EUR"
"24 oct. 2013","56,5500","EUR","168,8276M","EUR"
"23 oct. 2013","56,2800","EUR","168,0398M","EUR"
"22 oct. 2013","56,6100","EUR","170,1587M","EUR"
"21 oct. 2013","56,4800","EUR","165,7357M","EUR"
"18 oct. 2013","56,2500","EUR","164,1649M","EUR"
"17 oct. 2013","55,7800","EUR","162,7715M","EUR"
"16 oct. 2013","55,8400","EUR","162,9405M","EUR"
"15 oct. 2013","55,6900","EUR","162,4760M","EUR"
"14 oct. 2013","55,2300","EUR","161,1699M","EUR"
"11 oct. 2013","55,1600","EUR","160,8718M","EUR"
"10 oct. 2013","54,8900","EUR","160,1012M","EUR"
"09 oct. 2013","53,9200","EUR","157,2077M","EUR"
"08 oct. 2013","54,3200","EUR","158,3380M","EUR"
"07 oct. 2013","54,8000","EUR","159,7649M","EUR"
"04 oct. 2013","54,9400","EUR","160,1577M","EUR"
"03 oct. 2013","54,8300","EUR","159,8339M","EUR"
"02 oct. 2013","55,1000","EUR","160,6448M","EUR"
"01 oct. 2013","55,3700","EUR","161,3456M","EUR"
"30 sept. 2013","54,8500","EUR","159,8765M","EUR"
"27 sept. 2013","55,1400","EUR","160,7125M","EUR"
"26 sept. 2013","55,2200","EUR","160,9037M","EUR"
"25 sept. 2013","55,2700","EUR","161,0455M","EUR"
"24 sept. 2013","55,1600","EUR","160,6307M","EUR"
"23 sept. 2013","55,1000","EUR","160,4297M","EUR"
"20 sept. 2013","55,3500","EUR","161,2605M","EUR"
"19 sept. 2013","55,5400","EUR","161,7583M","EUR"
"18 sept. 2013","55,3000","EUR","161,0717M","EUR"
"17 sept. 2013","55,0300","EUR","160,2703M","EUR"
"16 sept. 2013","55,2600","EUR","160,9403M","EUR"
"13 sept. 2013","54,9300","EUR","159,7664M","EUR"
"12 sept. 2013","54,8300","EUR","157,8981M","EUR"
"11 sept. 2013","54,9400","EUR","158,2112M","EUR"
"10 sept. 2013","54,8800","EUR","158,3802M","EUR"
"09 sept. 2013","54,1800","EUR","156,6781M","EUR"
"06 sept. 2013","54,2700","EUR","156,9512M","EUR"
"05 sept. 2013","54,0700","EUR","156,3529M","EUR"
"04 sept. 2013","53,7400","EUR","156,0842M","EUR"
"03 sept. 2013","53,5900","EUR","155,6273M","EUR"
"02 sept. 2013","53,8600","EUR","156,3973M","EUR"
"30 août 2013","52,7900","EUR","153,3168M","EUR"
"29 août 2013","53,2300","EUR","154,5691M","EUR"
"28 août 2013","52,6900","EUR","153,0011M","EUR"
"27 août 2013","52,9400","EUR","153,6990M","EUR"
"26 août 2013","53,8800","EUR","156,4066M","EUR"
"23 août 2013","53,9100","EUR","156,4957M","EUR"
"22 août 2013","53,7400","EUR","155,9782M","EUR"
"21 août 2013","53,2200","EUR","154,4832M","EUR"
"20 août 2013","53,4700","EUR","155,1479M","EUR"
"19 août 2013","53,9300","EUR","156,4891M","EUR"
"16 août 2013","54,2300","EUR","157,3526M","EUR"
"14 août 2013","54,7500","EUR","158,8540M","EUR"
"13 août 2013","54,4900","EUR","158,1303M","EUR"
"12 août 2013","54,2100","EUR","157,4241M","EUR"
"09 août 2013","54,1500","EUR","157,2522M","EUR"
"08 août 2013","53,9300","EUR","156,6616M","EUR"
"07 août 2013","53,6100","EUR","155,7147M","EUR"
"06 août 2013","53,6600","EUR","156,3555M","EUR"
"05 août 2013","53,7900","EUR","156,7432M","EUR"
"02 août 2013","53,6700","EUR","156,5995M","EUR"
"01 août 2013","53,5900","EUR","156,9563M","EUR"
"31 juil. 2013","52,9000","EUR","154,9542M","EUR"
"30 juil. 2013","52,7900","EUR","154,5971M","EUR"
"29 juil. 2013","52,6200","EUR","155,7889M","EUR"
"26 juil. 2013","52,7900","EUR","148,5753M","EUR"
"25 juil. 2013","52,8000","EUR","148,5800M","EUR"
"24 juil. 2013","53,1200","EUR","149,4696M","EUR"
"23 juil. 2013","52,8900","EUR","148,8524M","EUR"
"22 juil. 2013","53,2300","EUR","149,8133M","EUR"
"19 juil. 2013","53,1900","EUR","149,7604M","EUR"
"18 juil. 2013","53,2200","EUR","149,8548M","EUR"
"17 juil. 2013","52,7600","EUR","148,5625M","EUR"
"16 juil. 2013","52,4500","EUR","147,6521M","EUR"
"15 juil. 2013","52,8100","EUR","148,7519M","EUR"
"12 juil. 2013","52,6000","EUR","147,5786M","EUR"
"11 juil. 2013","52,4400","EUR","147,1273M","EUR"
"10 juil. 2013","52,1400","EUR","146,1981M","EUR"
"09 juil. 2013","52,1200","EUR","147,4296M","EUR"
"08 juil. 2013","51,7700","EUR","145,9061M","EUR"
"05 juil. 2013","51,1000","EUR","143,9932M","EUR"
"04 juil. 2013","51,8100","EUR","145,9811M","EUR"
"03 juil. 2013","50,5700","EUR","142,4500M","EUR"
"02 juil. 2013","50,7800","EUR","142,9641M","EUR"
"01 juil. 2013","50,9700","EUR","143,4961M","EUR"
"28 juin 2013","50,4700","EUR","142,1729M","EUR"
"27 juin 2013","50,9400","EUR","141,0809M","EUR"
"26 juin 2013","50,2700","EUR","139,2007M","EUR"
"25 juin 2013","49,3700","EUR","136,6356M","EUR"
"24 juin 2013","48,6400","EUR","134,7317M","EUR"
"21 juin 2013","49,4000","EUR","136,8737M","EUR"
"20 juin 2013","49,8800","EUR","138,2129M","EUR"
"19 juin 2013","51,3200","EUR","142,2297M","EUR"
"18 juin 2013","51,3800","EUR","142,4658M","EUR"
"17 juin 2013","51,3800","EUR","81,6186M","EUR"
"14 juin 2013","51,0400","EUR","80,9290M","EUR"
"13 juin 2013","50,9900","EUR","80,9220M","EUR"
"12 juin 2013","50,9400","EUR","80,8285M","EUR"
"11 juin 2013","51,0200","EUR","80,9714M","EUR"
"10 juin 2013","51,6600","EUR","81,9744M","EUR"
"07 juin 2013","51,6700","EUR","81,9882M","EUR"
"06 juin 2013","50,9400","EUR","80,7864M","EUR"
"05 juin 2013","51,4800","EUR","81,6596M","EUR"
"04 juin 2013","52,2200","EUR","82,8330M","EUR"
"03 juin 2013","52,0500","EUR","82,5733M","EUR"
"31 mai 2013","52,4600","EUR","83,3405M","EUR"
"30 mai 2013","52,9000","EUR","84,0109M","EUR"
"29 mai 2013","52,7500","EUR","83,8244M","EUR"
"28 mai 2013","53,7500","EUR","85,2853M","EUR"
"27 mai 2013","53,0500","EUR","84,1287M","EUR"
"24 mai 2013","52,8800","EUR","83,9034M","EUR"
"23 mai 2013","53,0200","EUR","84,1590M","EUR"
"22 mai 2013","54,1600","EUR","85,9701M","EUR"
"21 mai 2013","54,0000","EUR","85,6878M","EUR"
"17 mai 2013","53,8600","EUR","84,6513M","EUR"
"16 mai 2013","53,7900","EUR","84,5447M","EUR"
"15 mai 2013","53,7100","EUR","84,3761M","EUR"
"14 mai 2013","53,2700","EUR","83,7676M","EUR"
"13 mai 2013","53,0000","EUR","83,2985M","EUR"
"10 mai 2013","53,0900","EUR","83,4361M","EUR"
"08 mai 2013","52,7500","EUR","82,8740M","EUR"
"07 mai 2013","52,4200","EUR","82,3495M","EUR"
"06 mai 2013","52,2500","EUR","82,0886M","EUR"
"03 mai 2013","52,1900","EUR","82,1973M","EUR"
"02 mai 2013","51,6200","EUR","81,3936M","EUR"
"30 avr. 2013","51,3300","EUR","80,9233M","EUR"
"29 avr. 2013","51,3000","EUR","80,8683M","EUR"
"26 avr. 2013","51,0700","EUR","80,5153M","EUR"
"25 avr. 2013","51,2500","EUR","80,7194M","EUR"
"24 avr. 2013","50,8800","EUR","80,1255M","EUR"
"23 avr. 2013","50,5500","EUR","79,6135M","EUR"
"22 avr. 2013","49,3400","EUR","77,7010M","EUR"
"19 avr. 2013","49,3000","EUR","77,2447M","EUR"
"18 avr. 2013","48,9200","EUR","77,2429M","EUR"
"17 avr. 2013","48,8300","EUR","77,0801M","EUR"
"16 avr. 2013","49,5500","EUR","78,1970M","EUR"
"15 avr. 2013","49,9000","EUR","78,7419M","EUR"
"12 avr. 2013","50,2500","EUR","79,2228M","EUR"
"11 avr. 2013","50,7100","EUR","80,5504M","EUR"
"10 avr. 2013","50,3400","EUR","80,4089M","EUR"
"09 avr. 2013","49,5300","EUR","79,0846M","EUR"
"08 avr. 2013","49,4400","EUR","78,9464M","EUR"
"05 avr. 2013","49,3800","EUR","78,8546M","EUR"
"04 avr. 2013","50,2100","EUR","80,2134M","EUR"
"03 avr. 2013","50,7400","EUR","81,0435M","EUR"
"02 avr. 2013","51,2000","EUR","81,7675M","EUR"
"28 mars 2013","50,5800","EUR","80,7794M","EUR"
"27 mars 2013","50,2900","EUR","80,2610M","EUR"
"26 mars 2013","50,5700","EUR","80,7152M","EUR"
"25 mars 2013","50,3700","EUR","80,4160M","EUR"
"22 mars 2013","50,5800","EUR","81,0838M","EUR"
"21 mars 2013","50,7400","EUR","81,3316M","EUR"
"20 mars 2013","51,0700","EUR","81,8315M","EUR"
"19 mars 2013","50,8700","EUR","81,5406M","EUR"
"18 mars 2013","51,1300","EUR","81,9538M","EUR"
"15 mars 2013","51,3300","EUR","82,2709M","EUR"
"14 mars 2013","51,6000","EUR","82,8929M","EUR"
"13 mars 2013","51,0500","EUR","81,9628M","EUR"
"12 mars 2013","50,8600","EUR","81,6260M","EUR"
"11 mars 2013","50,9000","EUR","81,6775M","EUR"
"08 mars 2013","50,9500","EUR","81,7541M","EUR"
"07 mars 2013","50,6500","EUR","81,2736M","EUR"
"06 mars 2013","50,6800","EUR","80,1164M","EUR"
"05 mars 2013","50,4900","EUR","79,8013M","EUR"
"04 mars 2013","49,6400","EUR","78,4480M","EUR"
"01 mars 2013","49,6900","EUR","78,5062M","EUR"
"28 févr. 2013","49,9200","EUR","78,0102M","EUR"
"27 févr. 2013","49,4600","EUR","78,0972M","EUR"
"26 févr. 2013","49,0700","EUR","77,4458M","EUR"
"25 févr. 2013","49,6400","EUR","78,3025M","EUR"
"22 févr. 2013","49,7400","EUR","78,4443M","EUR"
"21 févr. 2013","49,1500","EUR","77,5192M","EUR"
"20 févr. 2013","49,9300","EUR","78,7441M","EUR"
"19 févr. 2013","50,2400","EUR","78,9490M","EUR"
"18 févr. 2013","49,8000","EUR","78,8450M","EUR"
"15 févr. 2013","49,9000","EUR","78,9745M","EUR"
"14 févr. 2013","49,9000","EUR","78,9585M","EUR"
"13 févr. 2013","49,8800","EUR","85,0951M","EUR"
"12 févr. 2013","49,7600","EUR","84,8576M","EUR"
"11 févr. 2013","49,5300","EUR","84,4569M","EUR"
"08 févr. 2013","49,7700","EUR","84,8660M","EUR"
"07 févr. 2013","49,1300","EUR","83,7602M","EUR"
"06 févr. 2013","49,2100","EUR","83,9003M","EUR"
"05 févr. 2013","49,4600","EUR","84,2618M","EUR"
"04 févr. 2013","49,1700","EUR","83,6543M","EUR"
"01 févr. 2013","49,8100","EUR","84,7428M","EUR"
"31 janv. 2013","49,8000","EUR","82,4381M","EUR"
"30 janv. 2013","49,6900","EUR","82,2670M","EUR"
"29 janv. 2013","50,0200","EUR","82,7987M","EUR"
"28 janv. 2013","49,9400","EUR","82,6526M","EUR"
"25 janv. 2013","49,9800","EUR","81,8898M","EUR"
"24 janv. 2013","49,8900","EUR","81,7245M","EUR"
"23 janv. 2013","49,7300","EUR","79,8151M","EUR"
"22 janv. 2013","49,6300","EUR","79,6254M","EUR"
"21 janv. 2013","49,7000","EUR","79,7190M","EUR"
"18 janv. 2013","49,5300","EUR","79,4543M","EUR"
"17 janv. 2013","49,6200","EUR","79,5873M","EUR"
"16 janv. 2013","49,4400","EUR","79,3061M","EUR"
"15 janv. 2013","49,3800","EUR","79,0531M","EUR"
"14 janv. 2013","49,4400","EUR","79,0941M","EUR"
"11 janv. 2013","49,6200","EUR","78,3325M","EUR"
"10 janv. 2013","49,5800","EUR","78,2785M","EUR"
"09 janv. 2013","49,7100","EUR","78,4900M","EUR"
"08 janv. 2013","49,3500","EUR","77,8872M","EUR"
"07 janv. 2013","49,3900","EUR","77,9056M","EUR"
"04 janv. 2013","49,5600","EUR","78,1732M","EUR"
"03 janv. 2013","49,5500","EUR","78,1640M","EUR"
"02 janv. 2013","49,3900","EUR","77,9651M","EUR"
"31 déc. 2012","48,2400","EUR","76,1628M","EUR"
"28 déc. 2012","48,0800","EUR","75,8668M","EUR"
"27 déc. 2012","48,4100","EUR","76,3720M","EUR"
"21 déc. 2012","48,4200","EUR","76,3663M","EUR"
"20 déc. 2012","48,6900","EUR","76,7970M","EUR"
"19 déc. 2012","48,6700","EUR","76,7510M","EUR"
"18 déc. 2012","48,4900","EUR","76,4540M","EUR"
"17 déc. 2012","48,3200","EUR","76,1961M","EUR"
"14 déc. 2012","48,4900","EUR","75,2491M","EUR"
"13 déc. 2012","48,4100","EUR","75,1093M","EUR"
"12 déc. 2012","48,5400","EUR","75,2795M","EUR"
"11 déc. 2012","48,4500","EUR","75,1314M","EUR"
"10 déc. 2012","48,3100","EUR","74,9127M","EUR"
"07 déc. 2012","48,2400","EUR","74,8556M","EUR"
"06 déc. 2012","48,1100","EUR","74,6780M","EUR"
"05 déc. 2012","47,8000","EUR","74,1940M","EUR"
"04 déc. 2012","47,8000","EUR","74,1739M","EUR"
"03 déc. 2012","47,7400","EUR","74,0869M","EUR"
"30 nov. 2012","47,7500","EUR","74,1121M","EUR"
"29 nov. 2012","47,8100","EUR","74,2005M","EUR"
"28 nov. 2012","47,2400","EUR","73,3454M","EUR"
"27 nov. 2012","47,1200","EUR","73,0380M","EUR"
"26 nov. 2012","47,0500","EUR","72,9412M","EUR"
"23 nov. 2012","47,2900","EUR","73,3220M","EUR"
"22 nov. 2012","47,0400","EUR","72,9230M","EUR"
"21 nov. 2012","46,7900","EUR","72,5313M","EUR"
"20 nov. 2012","46,6200","EUR","72,1177M","EUR"
"19 nov. 2012","46,3900","EUR","71,7536M","EUR"
"16 nov. 2012","45,4300","EUR","70,2852M","EUR"
"15 nov. 2012","45,9000","EUR","71,0070M","EUR"
"14 nov. 2012","46,1500","EUR","71,4466M","EUR"
"13 nov. 2012","46,4200","EUR","71,6996M","EUR"
"12 nov. 2012","46,2400","EUR","71,4046M","EUR"
"09 nov. 2012","46,3800","EUR","71,6410M","EUR"
"08 nov. 2012","46,4300","EUR","71,7338M","EUR"
"07 nov. 2012","46,5300","EUR","71,8918M","EUR"
"06 nov. 2012","47,1800","EUR","72,7849M","EUR"
"05 nov. 2012","46,9300","EUR","72,4230M","EUR"
"02 nov. 2012","47,3000","EUR","72,9861M","EUR"
"31 oct. 2012","46,5600","EUR","71,7830M","EUR"
"30 oct. 2012","47,0500","EUR","72,5067M","EUR"
"29 oct. 2012","46,6100","EUR","71,8345M","EUR"
"26 oct. 2012","46,7100","EUR","71,5022M","EUR"
"25 oct. 2012","46,6800","EUR","71,4528M","EUR"
"24 oct. 2012","46,5800","EUR","71,2914M","EUR"
"23 oct. 2012","46,2100","EUR","70,7257M","EUR"
"22 oct. 2012","46,9700","EUR","71,8864M","EUR"
"19 oct. 2012","47,1900","EUR","72,2178M","EUR"
"18 oct. 2012","47,5300","EUR","72,7461M","EUR"
"17 oct. 2012","47,4100","EUR","72,5885M","EUR"
"16 oct. 2012","47,2700","EUR","72,1796M","EUR"
"15 oct. 2012","46,6000","EUR","71,1651M","EUR"
"12 oct. 2012","46,3500","EUR","70,7490M","EUR"
"11 oct. 2012","46,6200","EUR","71,1692M","EUR"
"10 oct. 2012","46,1500","EUR","70,4982M","EUR"
"09 oct. 2012","46,3800","EUR","70,8520M","EUR"
"08 oct. 2012","46,4600","EUR","70,9936M","EUR"
"05 oct. 2012","47,0400","EUR","71,8759M","EUR"
"04 oct. 2012","46,5700","EUR","71,1552M","EUR"
"03 oct. 2012","46,6300","EUR","70,8799M","EUR"
"02 oct. 2012","46,7100","EUR","71,0148M","EUR"
"01 oct. 2012","46,9000","EUR","71,2992M","EUR"
"28 sept. 2012","46,1300","EUR","69,8406M","EUR"
"27 sept. 2012","46,6300","EUR","70,5949M","EUR"
"26 sept. 2012","46,4100","EUR","70,2217M","EUR"
"25 sept. 2012","47,2900","EUR","71,5628M","EUR"
"24 sept. 2012","47,0700","EUR","71,1891M","EUR"
"21 sept. 2012","47,2700","EUR","71,3884M","EUR"
"20 sept. 2012","46,9600","EUR","70,9172M","EUR"
"19 sept. 2012","47,0400","EUR","71,0415M","EUR"
"18 sept. 2012","46,8900","EUR","70,8123M","EUR"
"17 sept. 2012","47,1000","EUR","71,1381M","EUR"
"14 sept. 2012","47,2500","EUR","71,3618M","EUR"
"13 sept. 2012","46,5500","EUR","70,3041M","EUR"
"12 sept. 2012","46,7100","EUR","70,5128M","EUR"
"11 sept. 2012","46,7400","EUR","70,5578M","EUR"
"10 sept. 2012","46,6500","EUR","70,4269M","EUR"
"07 sept. 2012","46,7100","EUR","70,5377M","EUR"
"06 sept. 2012","46,4700","EUR","70,1729M","EUR"
"05 sept. 2012","45,4200","EUR","68,5956M","EUR"
"04 sept. 2012","45,4300","EUR","68,6103M","EUR"
"03 sept. 2012","46,0000","EUR","69,4793M","EUR"
"31 août 2012","45,5800","EUR","68,8463M","EUR"
"30 août 2012","45,3600","EUR","68,5256M","EUR"
"29 août 2012","45,6400","EUR","68,9438M","EUR"
"28 août 2012","45,6900","EUR","69,0218M","EUR"
"27 août 2012","45,9300","EUR","69,3391M","EUR"
